filename	GlobalId	IfcClass	OriginalName	FamilyName	ElementName	ElementID
MiC_TYPE_6_TL_MiC_TYPE_6_TL_57133352_1DsuNIs$bADP4N2gjHGkPk.ifc	1DsuNIs$bADP4N2gjHGkPk	IfcBuildingElementProxy	MiC_TYPE 6_TL:MiC_TYPE 6_TL:57133352	MiC_TYPE 6_TL	MiC_TYPE 6_TL	57133352
MiC_TYPE_1_MB1R_MiC_TYPE_1_MB1R_57133768_1DsuNIs$bADP4N2gjHGkME.ifc	1DsuNIs$bADP4N2gjHGkME	IfcBuildingElementProxy	MiC_TYPE 1_MB1R:MiC_TYPE 1_MB1R:57133768	MiC_TYPE 1_MB1R	MiC_TYPE 1_MB1R	57133768
MiC_TYPE_5_BR1_MiC_TYPE_5_BR1_57133952_1DsuNIs$bADP4N2gjHGkJ6.ifc	1DsuNIs$bADP4N2gjHGkJ6	IfcBuildingElementProxy	MiC_TYPE 5_BR1:MiC_TYPE 5_BR1:57133952	MiC_TYPE 5_BR1	MiC_TYPE 5_BR1	57133952
MiC_TYPE_6_TL_MiC_TYPE_6_TL_57160681_1DsuNIs$bADP4N2gjHJHol.ifc	1DsuNIs$bADP4N2gjHJHol	IfcBuildingElementProxy	MiC_TYPE 6_TL:MiC_TYPE 6_TL:57160681	MiC_TYPE 6_TL	MiC_TYPE 6_TL	57160681
MiC_TYPE_1_2_MB3_MiC_TYPE_1_2_MB3_57161344_2b5qABg3z8xAsQnY6Ynjav.ifc	2b5qABg3z8xAsQnY6Ynjav	IfcBuildingElementProxy	MiC_TYPE 1.2_MB3:MiC_TYPE 1.2_MB3:57161344	MiC_TYPE 1.2_MB3	MiC_TYPE 1.2_MB3	57161344
MiC_TYPE_2_1_BT4_MiC_TYPE_2_1_BT4_57185519_2b5qABg3z8xAsQnY6YndjM.ifc	2b5qABg3z8xAsQnY6YndjM	IfcBuildingElementProxy	MiC_TYPE 2.1_BT4:MiC_TYPE 2.1_BT4:57185519	MiC_TYPE 2.1_BT4	MiC_TYPE 2.1_BT4	57185519
MiC_TYPE_2_2_BT3R_MiC_TYPE_2_2_BT3R_57185898_2b5qABg3z8xAsQnY6YnddJ.ifc	2b5qABg3z8xAsQnY6YnddJ	IfcBuildingElementProxy	MiC_TYPE 2.2_BT3R:MiC_TYPE 2.2_BT3R:57185898	MiC_TYPE 2.2_BT3R	MiC_TYPE 2.2_BT3R	57185898
MiC_TYPE_4_1_KTL_KTR_4_1_57186426_2b5qABg3z8xAsQnY6YndV3.ifc	2b5qABg3z8xAsQnY6YndV3	IfcBuildingElementProxy	MiC_TYPE 4.1_KTL & KTR:4.1:57186426	MiC_TYPE 4.1_KTL & KTR	4.1	57186426
MiC_TYPE_4_1_KTL_KTR_4_1R_57186783_2b5qABg3z8xAsQnY6YndPc.ifc	2b5qABg3z8xAsQnY6YndPc	IfcBuildingElementProxy	MiC_TYPE 4.1_KTL & KTR:4.1R:57186783	MiC_TYPE 4.1_KTL & KTR	4.1R	57186783
MiC_TYPE_2B-P3_BT1L_MiC_TYPE_2B-P3_BT1L_57187295_2b5qABg3z8xAsQnY6YndHc.ifc	2b5qABg3z8xAsQnY6YndHc	IfcBuildingElementProxy	MiC_TYPE 2B-P3_BT1L:MiC_TYPE 2B-P3_BT1L:57187295	MiC_TYPE 2B-P3_BT1L	MiC_TYPE 2B-P3_BT1L	57187295
MiC_TPYE_1_3_MB1L_MB1R_MiC_TPYE_1_3_MB1L_MB1R_57187604_2b5qABg3z8xAsQnY6YndAj.ifc	2b5qABg3z8xAsQnY6YndAj	IfcBuildingElementProxy	MiC_TPYE 1.3_MB1L & MB1R:MiC_TPYE 1.3_MB1L & MB1R:57187604	MiC_TPYE 1.3_MB1L & MB1R	MiC_TPYE 1.3_MB1L & MB1R	57187604
MiC_TPYE_1_3_MB1L_MB1R_MiC_TPYE_1_3_MB1L_MB1R_57188162_2b5qABg3z8xAsQnY6Ynd3x.ifc	2b5qABg3z8xAsQnY6Ynd3x	IfcBuildingElementProxy	MiC_TPYE 1.3_MB1L & MB1R:MiC_TPYE 1.3_MB1L & MB1R:57188162	MiC_TPYE 1.3_MB1L & MB1R	MiC_TPYE 1.3_MB1L & MB1R	57188162
MiC_TYPE_7_0_EMR1_MiC_TYPE_7_0_EMR1_57188312_2b5qABg3z8xAsQnY6Ynd1X.ifc	2b5qABg3z8xAsQnY6Ynd1X	IfcBuildingElementProxy	MiC_TYPE 7.0_EMR1:MiC_TYPE 7.0_EMR1:57188312	MiC_TYPE 7.0_EMR1	MiC_TYPE 7.0_EMR1	57188312
MiC_TYPE_2B-P1_BT1R_MiC_TYPE_2B-P1_BT1R_57189389_2bLgnfup549QUJ7rbe_qsz.ifc	2bLgnfup549QUJ7rbe_qsz	IfcBuildingElementProxy	MiC_TYPE 2B-P1_BT1R:MiC_TYPE 2B-P1_BT1R:57189389	MiC_TYPE 2B-P1_BT1R	MiC_TYPE 2B-P1_BT1R	57189389
MiC_TYPE_4_KTL_KTR_4_57190001_2bLgnfup549QUJ7rbe_q$1.ifc	2bLgnfup549QUJ7rbe_q$1	IfcBuildingElementProxy	MiC_TYPE 4_KTL & KTR:4:57190001	MiC_TYPE 4_KTL & KTR	4	57190001
MiC_TYPE_3_3_LK2R_MiC_TYPE_3_3_LK2R_57317685_3s9BSYdKbDIPApKchzDEiA.ifc	3s9BSYdKbDIPApKchzDEiA	IfcBuildingElementProxy	MiC_TYPE 3.3_LK2R:MiC_TYPE 3.3_LK2R:57317685	MiC_TYPE 3.3_LK2R	MiC_TYPE 3.3_LK2R	57317685
MiC_TYPE_3A3_LD2R_MiC_TYPE_3A3_LD2R_57317720_3s9BSYdKbDIPApKchzDEjd.ifc	3s9BSYdKbDIPApKchzDEjd	IfcBuildingElementProxy	MiC_TYPE 3A3_LD2R:MiC_TYPE 3A3_LD2R:57317720	MiC_TYPE 3A3_LD2R	MiC_TYPE 3A3_LD2R	57317720
MiC_TYPE_3_4_LK1L_MiC_TYPE_3_4_LK1L_57317769_3s9BSYdKbDIPApKchzDEks.ifc	3s9BSYdKbDIPApKchzDEks	IfcBuildingElementProxy	MiC_TYPE 3.4_LK1L:MiC_TYPE 3.4_LK1L:57317769	MiC_TYPE 3.4_LK1L	MiC_TYPE 3.4_LK1L	57317769
MiC_TYPE_3A2_LD1L_MiC_TYPE_3A2_LD1L_57317852_3s9BSYdKbDIPApKchzDElZ.ifc	3s9BSYdKbDIPApKchzDElZ	IfcBuildingElementProxy	MiC_TYPE 3A2_LD1L:MiC_TYPE 3A2_LD1L:57317852	MiC_TYPE 3A2_LD1L	MiC_TYPE 3A2_LD1L	57317852
MiC_TYPE_3A1_LK1R_MiC_TYPE_3A1_LK1R_57317917_3s9BSYdKbDIPApKchzDEWY.ifc	3s9BSYdKbDIPApKchzDEWY	IfcBuildingElementProxy	MiC_TYPE 3A1_LK1R:MiC_TYPE 3A1_LK1R:57317917	MiC_TYPE 3A1_LK1R	MiC_TYPE 3A1_LK1R	57317917
MiC_TYPE_3B2_LD1L_LD2R_MiC_TYPE_3B2_LD1L_LD2R_57318114_3s9BSYdKbDIPApKchzDEZT.ifc	3s9BSYdKbDIPApKchzDEZT	IfcBuildingElementProxy	MiC_TYPE 3B2_LD1L & LD2R:MiC_TYPE 3B2_LD1L & LD2R:57318114	MiC_TYPE 3B2_LD1L & LD2R	MiC_TYPE 3B2_LD1L & LD2R	57318114
MiC_TYPE_1_2_MB2L_MB2R_MiC_TYPE_1_2_MB2L_MB2R_57318743_3gEg7mW$z7yAlWKjenXKKq.ifc	3gEg7mW$z7yAlWKjenXKKq	IfcBuildingElementProxy	MiC_TYPE 1.2_MB2L & MB2R:MiC_TYPE 1.2_MB2L & MB2R:57318743	MiC_TYPE 1.2_MB2L & MB2R	MiC_TYPE 1.2_MB2L & MB2R	57318743
MiC_TYPE_2_BT3L_BT3R_MiC_TYPE_2_BT3L_BT3R_57319033_3gEg7mW$z7yAlWKjenXKOQ.ifc	3gEg7mW$z7yAlWKjenXKOQ	IfcBuildingElementProxy	MiC_TYPE 2_BT3L & BT3R:MiC_TYPE 2_BT3L & BT3R:57319033	MiC_TYPE 2_BT3L & BT3R	MiC_TYPE 2_BT3L & BT3R	57319033
MiC_TYPE_6_TL_MiC_TYPE_6_TL_57319599_3gEg7mW$z7yAlWKjenXNZC.ifc	3gEg7mW$z7yAlWKjenXNZC	IfcBuildingElementProxy	MiC_TYPE 6_TL:MiC_TYPE 6_TL:57319599	MiC_TYPE 6_TL	MiC_TYPE 6_TL	57319599
MiC_TYPE_1_4R_MB3L_MiC_TYPE_1_4R_MB3L_57320183_3gEg7mW$z7yAlWKjenXNgK.ifc	3gEg7mW$z7yAlWKjenXNgK	IfcBuildingElementProxy	MiC_TYPE 1.4R_MB3L:MiC_TYPE 1.4R_MB3L:57320183	MiC_TYPE 1.4R_MB3L	MiC_TYPE 1.4R_MB3L	57320183
MiC_TYPE_9_EMR2_MiC_TYPE_9_EMR2_57320381_3gEg7mW$z7yAlWKjenXNlU.ifc	3gEg7mW$z7yAlWKjenXNlU	IfcBuildingElementProxy	MiC_TYPE 9_EMR2:MiC_TYPE 9_EMR2:57320381	MiC_TYPE 9_EMR2	MiC_TYPE 9_EMR2	57320381
MiC_TYPE_10_WMC_MiC_TYPE_10_WMC_57321153_3gEg7mW$z7yAlWKjenXNwY.ifc	3gEg7mW$z7yAlWKjenXNwY	IfcBuildingElementProxy	MiC_TYPE 10_WMC:MiC_TYPE 10_WMC:57321153	MiC_TYPE 10_WMC	MiC_TYPE 10_WMC	57321153
MiC_TYPE_1_2_MB2L_MB2R_MiC_TYPE_1_2_MB2L_MB2R_57321672_2D9tLpdgX7xBHbZ3peNV6v.ifc	2D9tLpdgX7xBHbZ3peNV6v	IfcBuildingElementProxy	MiC_TYPE 1.2_MB2L & MB2R:MiC_TYPE 1.2_MB2L & MB2R:57321672	MiC_TYPE 1.2_MB2L & MB2R	MiC_TYPE 1.2_MB2L & MB2R	57321672
MiC_TYPE_2_BT3L_BT3R_MiC_TYPE_2_BT3L_BT3R_57321861_2D9tLpdgX7xBHbZ3peNV3q.ifc	2D9tLpdgX7xBHbZ3peNV3q	IfcBuildingElementProxy	MiC_TYPE 2_BT3L & BT3R:MiC_TYPE 2_BT3L & BT3R:57321861	MiC_TYPE 2_BT3L & BT3R	MiC_TYPE 2_BT3L & BT3R	57321861
MiC_TYPE_4_KTL_KTR_4_57322549_0Py65SNEj1KOkc3USpbpK6.ifc	0Py65SNEj1KOkc3USpbpK6	IfcBuildingElementProxy	MiC_TYPE 4_KTL & KTR:4:57322549	MiC_TYPE 4_KTL & KTR	4	57322549
MiC_TYPE_4_KTL_KTR_4R_57322959_0Py65SNEj1KOkc3USpbpJy.ifc	0Py65SNEj1KOkc3USpbpJy	IfcBuildingElementProxy	MiC_TYPE 4_KTL & KTR:4R:57322959	MiC_TYPE 4_KTL & KTR	4R	57322959
MiC_TYPE_2B-P1_BT1R_MiC_TYPE_2B-P1_BT1R_57323846_0Py65SNEj1KOkc3USpboXr.ifc	0Py65SNEj1KOkc3USpboXr	IfcBuildingElementProxy	MiC_TYPE 2B-P1_BT1R:MiC_TYPE 2B-P1_BT1R:57323846	MiC_TYPE 2B-P1_BT1R	MiC_TYPE 2B-P1_BT1R	57323846
MiC_TPYE_1_3_MB1L_MB1R_MiC_TPYE_1_3_MB1L_MB1R_57324230_0Py65SNEj1KOkc3USpbolr.ifc	0Py65SNEj1KOkc3USpbolr	IfcBuildingElementProxy	MiC_TPYE 1.3_MB1L & MB1R:MiC_TPYE 1.3_MB1L & MB1R:57324230	MiC_TPYE 1.3_MB1L & MB1R	MiC_TPYE 1.3_MB1L & MB1R	57324230
MiC_TYPE_8_RMSRR_MiC_TYPE_8_RMSRR_57324431_0Py65SNEj1KOkc3USpbogy.ifc	0Py65SNEj1KOkc3USpbogy	IfcBuildingElementProxy	MiC_TYPE 8_RMSRR:MiC_TYPE 8_RMSRR:57324431	MiC_TYPE 8_RMSRR	MiC_TYPE 8_RMSRR	57324431
MiC_TYPE_2B-P2__BT2R_MiC_TYPE_2B-P2__BT2R_57369543_3BFhSQmaT6vhr1swgQJj17.ifc	3BFhSQmaT6vhr1swgQJj17	IfcBuildingElementProxy	MiC_TYPE 2B-P2 _BT2R:MiC_TYPE 2B-P2 _BT2R:57369543	MiC_TYPE 2B-P2 _BT2R	MiC_TYPE 2B-P2 _BT2R	57369543
MiC_TYPE_1_5R_MB2L_MiC_TYPE_1_5R_MB2L_57398423_3BFhSQmaT6vhr1swgQJcSN.ifc	3BFhSQmaT6vhr1swgQJcSN	IfcBuildingElementProxy	MiC_TYPE 1.5R_MB2L:MiC_TYPE 1.5R_MB2L:57398423	MiC_TYPE 1.5R_MB2L	MiC_TYPE 1.5R_MB2L	57398423
MiC_TYPE_4_KTL_KTR_4R_57399178_3BFhSQmaT6vhr1swgQJcGA.ifc	3BFhSQmaT6vhr1swgQJcGA	IfcBuildingElementProxy	MiC_TYPE 4_KTL & KTR:4R:57399178	MiC_TYPE 4_KTL & KTR	4R	57399178
MiC_TYPE_2B-P4__BT2L_MiC_TYPE_2B-P4__BT2L_57400044_1l3UJlBpv8gAcMTJLavrba.ifc	1l3UJlBpv8gAcMTJLavrba	IfcBuildingElementProxy	MiC_TYPE 2B-P4 _BT2L:MiC_TYPE 2B-P4 _BT2L:57400044	MiC_TYPE 2B-P4 _BT2L	MiC_TYPE 2B-P4 _BT2L	57400044
MiC_TYPE_1_2_MB2L_MB2R_MiC_TYPE_1_2_MB2L_MB2R_57400482_1l3UJlBpv8gAcMTJLavryg.ifc	1l3UJlBpv8gAcMTJLavryg	IfcBuildingElementProxy	MiC_TYPE 1.2_MB2L & MB2R:MiC_TYPE 1.2_MB2L & MB2R:57400482	MiC_TYPE 1.2_MB2L & MB2R	MiC_TYPE 1.2_MB2L & MB2R	57400482
